Stock Name,Entry date,Entry price,Entry Amount,Quantity,Exit date,Exit price,Exit amount,PNL,ST/LT,Tax,Corpus available
VSTIND,03-Jul-17,338.55,941846.1,2782,01-Aug-17,274.24,762935.68,-178910.42,ST,0.0,134.25
LAKSHVILAS,03-Jul-17,202.8,942006.0,4645,01-Aug-17,180.65,839119.25,-102886.75,ST,0.0,134.25
SUNDRMFAST,02-Jan-17,287.65,792763.4,2756,01-Sep-17,404.15,1113837.4,321074.0,ST,64214.8,409.14
BIRLACORPN,01-Jun-17,889.8,813277.2,914,01-Sep-17,966.75,883609.5,70332.3,ST,14066.46,409.14
BALKRISIND,02-Jan-17,543.78,792831.24,1458,03-Oct-17,844.65,1231499.7,438668.46,ST,81024.15,21777030.09
ESCORTS,02-Jan-17,320.75,792894.0,2472,03-Oct-17,658.75,1628430.0,835536.0,ST,154327.47,21777030.09
IGL,02-Jan-17,91.95,793252.65,8627,03-Oct-17,147.55,1272913.85,479661.2,ST,88595.7,21777030.09
BAJAJFINSV,01-Mar-17,392.39,867966.68,2212,03-Oct-17,532.55,1178000.6,310033.92,ST,57264.74,21777030.09
MOTILALOFS,01-Mar-17,166.33,868408.93,5221,03-Oct-17,320.75,1674635.75,806226.82,ST,148913.92,21777030.09
RAIN,01-Mar-17,88.35,868480.5,9830,03-Oct-17,173.65,1706979.5,838499.0,ST,154874.75,21777030.09
UNOMINDA,03-Apr-17,73.39,996929.76,13584,03-Oct-17,140.42,1907465.28,910535.52,ST,168180.23,21777030.09
CANFINHOME,02-May-17,567.25,889448.0,1568,03-Oct-17,527.86,827684.48,-61763.52,ST,0.0,21777030.09
ADANIENSOL,01-Jun-17,127.05,814263.45,6409,03-Oct-17,158.6,1016467.4,202203.95,ST,37348.03,21777030.09
AVANTIFEED,01-Jun-17,474.57,813887.55,1715,03-Oct-17,750.65,1287364.75,473477.2,ST,87453.49,21777030.09
VAKRANGEE,01-Jun-17,194.5,814371.5,4187,03-Oct-17,247.38,1035780.06,221408.56,ST,40895.21,21777030.09
CAPLIPOINT,01-Jun-17,534.85,814576.55,1523,03-Oct-17,696.6,1060921.8,246345.25,ST,45501.14,21777030.09
CEATLTD,03-Jul-17,1865.0,941825.0,505,03-Oct-17,1704.6,860823.0,-81002.0,ST,0.0,21777030.09
MRF,03-Jul-17,70859.5,921173.5,13,03-Oct-17,63404.4,824257.2,-96916.3,ST,0.0,21777030.09
SWARAJENG,03-Jul-17,2346.0,961860.0,410,03-Oct-17,1999.65,819856.5,-142003.5,ST,0.0,21777030.09
MGL,01-Aug-17,996.0,837636.0,841,03-Oct-17,1082.6,910466.6,72830.6,ST,13452.16,21777030.09
TVSMOTOR,01-Aug-17,596.4,838538.4,1406,03-Oct-17,653.5,918821.0,80282.6,ST,14828.58,21777030.09
NOCIL,01-Aug-17,147.7,838640.6,5678,03-Oct-17,141.65,804288.7,-34351.9,ST,0.0,21777030.09
STLTECH,01-Sep-17,232.05,959526.75,4135,03-Oct-17,222.75,921071.25,-38455.5,ST,0.0,21777030.09
DBL,01-Sep-17,592.2,959364.0,1620,03-Oct-17,609.0,986580.0,27216.0,ST,5026.92,21777030.09
BBTC,01-Nov-17,1649.2,1088472.0,660,01-Dec-17,1516.55,1000923.0,-87549.0,ST,0.0,22352958.74
APLAPOLLO,01-Nov-17,187.31,1088833.03,5813,01-Dec-17,197.83,1149985.79,61152.76,ST,5737.53,22352958.74
ADANIENSOL,01-Nov-17,204.55,1088819.65,5323,01-Dec-17,174.55,929129.65,-159690.0,ST,0.0,22352958.74
AVANTIFEED,01-Nov-17,929.2,1088093.2,1171,01-Dec-17,874.68,1024250.28,-63842.92,ST,0.0,22352958.74
JSL,01-Nov-17,119.0,1088850.0,9150,01-Dec-17,108.85,995977.5,-92872.5,ST,0.0,22352958.74
KRBL,01-Nov-17,650.1,1088917.5,1675,01-Dec-17,616.85,1033223.75,-55693.75,ST,0.0,22352958.74
ITI,01-Nov-17,153.55,1088823.05,7091,01-Dec-17,141.5,1003376.5,-85446.55,ST,0.0,22352958.74
IGL,01-Nov-17,158.3,1088787.4,6878,01-Dec-17,158.75,1091882.5,3095.1,ST,290.39,22352958.74
NBCC,01-Nov-17,87.62,1088941.36,12428,01-Dec-17,86.83,1079123.24,-9818.12,ST,0.0,22352958.74
KEC,01-Nov-17,303.7,1088764.5,3585,01-Dec-17,314.55,1127661.75,38897.25,ST,3649.45,22352958.74
UNOMINDA,01-Nov-17,147.76,1088843.44,7369,01-Dec-17,207.91,1532088.79,443245.35,ST,41586.57,22352958.74
STLTECH,01-Nov-17,293.7,1088745.9,3707,01-Dec-17,269.85,1000333.95,-88411.95,ST,0.0,22352958.74
SUNTECK,01-Nov-17,358.45,1088971.1,3038,01-Dec-17,407.9,1239200.2,150229.1,ST,14094.93,22352958.74
RELIANCE,01-Nov-17,432.39,1088758.02,2518,01-Dec-17,413.12,1040236.16,-48521.86,ST,0.0,22352958.74
RAIN,01-Nov-17,262.1,1089025.5,4155,01-Dec-17,345.25,1434513.75,345488.25,ST,32414.72,22352958.74
NOCIL,01-Nov-17,180.25,1089070.5,6042,01-Dec-17,175.15,1058256.3,-30814.2,ST,0.0,22352958.74
DHANI,01-Nov-17,294.0,1088976.0,3704,01-Dec-17,269.15,996931.6,-92044.4,ST,0.0,22352958.74
VAKRANGEE,01-Nov-17,274.98,1088920.8,3960,01-Dec-17,356.4,1411344.0,322423.2,ST,30250.69,22352958.74
DBL,01-Nov-17,890.2,1088714.6,1223,01-Dec-17,950.3,1162216.9,73502.3,ST,6896.2,22352958.74
BOMDYEING,01-Nov-17,194.6,1089565.4,5599,01-Dec-17,211.85,1186148.15,96582.75,ST,9061.68,22352958.74
BOMDYEING,01-Jan-18,286.05,1117597.35,3907,31-Jan-18,228.15,891382.05,-226215.3,ST,0.0,891394.15
VAKRANGEE,01-Jan-18,420.3,1117577.7,2659,01-Feb-18,291.8,775896.2,-341681.5,ST,0.0,46.95
TVSMOTOR,01-Jan-18,766.45,1117484.1,1458,01-Feb-18,671.2,978609.6,-138874.5,ST,0.0,46.95
MOTILALOFS,01-Jan-18,370.7,1117660.5,3015,01-Feb-18,320.96,967694.4,-149966.1,ST,0.0,46.95
RKFORGE,01-Jan-18,171.33,1117585.59,6523,01-Feb-18,158.08,1031155.84,-86429.75,ST,0.0,46.95
BBTC,01-Jan-18,1659.8,1117045.4,673,01-Mar-18,1416.7,953439.1,-163606.3,ST,0.0,20987467.5
ADANIENSOL,01-Jan-18,219.7,1117613.9,5087,01-Mar-18,204.2,1038765.4,-78848.5,ST,0.0,20987467.5
POLARIS,01-Jan-18,393.2,1117474.4,2842,01-Mar-18,471.5,1340003.0,222528.6,ST,0.0,20987467.5
AVANTIFEED,01-Jan-18,861.75,1117689.75,1297,01-Mar-18,810.48,1051192.56,-66497.19,ST,0.0,20987467.5
STLTECH,01-Jan-18,293.85,1117511.55,3803,01-Mar-18,357.85,1360903.55,243392.0,ST,0.0,20987467.5
SUNTECK,01-Jan-18,418.55,1117528.5,2670,01-Mar-18,398.8,1064796.0,-52732.5,ST,0.0,20987467.5
TITAN,01-Jan-18,852.45,1117561.95,1311,01-Mar-18,810.2,1062172.2,-55389.75,ST,0.0,20987467.5
UNOMINDA,01-Jan-18,212.88,1117620.0,5250,01-Mar-18,194.42,1020705.0,-96915.0,ST,0.0,20987467.5
IFBIND,01-Jan-18,1362.5,1117250.0,820,01-Mar-18,1419.45,1163949.0,46699.0,ST,0.0,20987467.5
RAIN,01-Jan-18,371.75,1117852.25,3007,01-Mar-18,362.35,1089586.45,-28265.8,ST,0.0,20987467.5
DHANI,01-Jan-18,265.9,1117843.6,4204,01-Mar-18,256.7,1079166.8,-38676.8,ST,0.0,20987467.5
VIPIND,01-Jan-18,351.25,1117677.5,3182,01-Mar-18,347.95,1107176.9,-10500.6,ST,0.0,20987467.5
DBL,01-Jan-18,982.05,1117572.9,1138,01-Mar-18,953.45,1085026.1,-32546.8,ST,0.0,20987467.5
KOLTEPATIL,01-Jan-18,364.9,1118053.6,3064,01-Mar-18,337.4,1033793.6,-84260.0,ST,0.0,20987467.5
FCONSUMER,01-Jan-18,76.1,1118746.1,14701,01-Mar-18,59.5,874709.5,-244036.6,ST,0.0,20987467.5
GODREJPROP,01-Feb-18,807.45,928567.5,1150,01-Mar-18,779.05,895907.5,-32660.0,ST,0.0,20987467.5
JINDALSTEL,01-Feb-18,265.95,928963.35,3493,01-Mar-18,248.85,869233.05,-59730.3,ST,0.0,20987467.5
HDFCBANK,01-Feb-18,995.58,928876.14,933,01-Mar-18,937.18,874388.94,-54487.2,ST,0.0,20987467.5
NOCIL,01-Feb-18,201.85,929115.55,4603,01-Mar-18,206.5,950519.5,21403.95,ST,0.0,20987467.5
BOMDYEING,01-Feb-18,221.55,929180.7,4194,01-Mar-18,255.6,1071986.4,142805.7,ST,0.0,20987467.5
RAIN,02-Apr-18,383.5,1049256.0,2736,02-May-18,306.5,838584.0,-210672.0,ST,0.0,567.44
ADANIENSOL,02-Apr-18,193.6,1049312.0,5420,02-May-18,167.1,905682.0,-143630.0,ST,0.0,567.44
3MINDIA,02-Apr-18,19973.9,1038642.8,52,01-Jun-18,19353.6,1006387.2,-32255.6,ST,0.0,21875460.91
BRITANNIA,02-Apr-18,2553.53,1049500.83,411,01-Jun-18,2906.23,1194460.53,144959.7,ST,18407.79,21875460.91
AVANTIFEED,02-Apr-18,795.35,1049862.0,1320,01-Jun-18,515.55,680526.0,-369336.0,ST,0.0,21875460.91
DMART,02-Apr-18,1357.3,1049192.9,773,01-Jun-18,1531.1,1183540.3,134347.4,ST,17060.18,21875460.91
COFORGE,02-Apr-18,881.4,1049747.4,1191,01-Jun-18,1107.2,1318675.2,268927.8,ST,34149.95,21875460.91
HINDUNILVR,02-Apr-18,1351.3,1049960.1,777,01-Jun-18,1588.85,1234536.45,184576.35,ST,23438.53,21875460.91
JUBLFOOD,02-Apr-18,235.61,1050113.77,4457,01-Jun-18,250.11,1114740.27,64626.5,ST,8206.63,21875460.91
RADICO,02-Apr-18,357.4,1050041.2,2938,01-Jun-18,437.85,1286403.3,236362.1,ST,30014.57,21875460.91
STLTECH,02-Apr-18,327.0,1049997.0,3211,01-Jun-18,322.05,1034102.55,-15894.45,ST,0.0,21875460.91
SUNTECK,02-Apr-18,418.85,1050056.95,2507,01-Jun-18,390.6,979234.2,-70822.75,ST,0.0,21875460.91
UNOMINDA,02-Apr-18,184.55,1050089.5,5690,01-Jun-18,207.17,1178797.3,128707.8,ST,16344.03,21875460.91
NOCIL,02-Apr-18,196.9,1050067.7,5333,01-Jun-18,183.9,980738.7,-69329.0,ST,0.0,21875460.91
LAXMIMACH,02-Apr-18,7201.25,1044181.25,145,01-Jun-18,8120.3,1177443.5,133262.25,ST,16922.38,21875460.91
TITAN,02-Apr-18,944.1,1050783.3,1113,01-Jun-18,900.0,1001700.0,-49083.3,ST,0.0,21875460.91
DHANI,02-Apr-18,249.9,1051579.2,4208,01-Jun-18,449.0,1889392.0,837812.8,ST,106390.12,21875460.91
GILLETTE,02-Apr-18,6595.25,1048644.75,159,01-Jun-18,6548.95,1041283.05,-7361.7,ST,0.0,21875460.91
DBL,02-Apr-18,1114.25,1052966.25,945,01-Jun-18,859.1,811849.5,-241116.75,ST,0.0,21875460.91
BOMDYEING,02-Apr-18,246.05,1053340.05,4281,01-Jun-18,237.25,1015667.25,-37672.8,ST,0.0,21875460.91
GRAPHITE,02-May-18,711.85,872016.25,1225,01-Jun-18,844.05,1033961.25,161945.0,ST,20564.68,21875460.91
HEG,02-May-18,573.94,871814.86,1519,01-Jun-18,672.83,1022028.77,150213.91,ST,19075.0,21875460.91
DMART,01-Aug-18,1669.7,1093653.5,655,03-Sep-18,1604.65,1051045.75,-42607.75,ST,0.0,1877.0
3MINDIA,01-Aug-18,23454.7,1078916.2,46,01-Oct-18,23088.2,1062057.2,-16859.0,ST,0.0,20071242.2
ASTRAL,01-Aug-18,493.7,1094532.9,2217,01-Oct-18,429.62,952467.54,-142065.36,ST,0.0,20071242.2
COFORGE,01-Aug-18,1248.9,1094036.4,876,01-Oct-18,1167.15,1022423.4,-71613.0,ST,0.0,20071242.2
BRITANNIA,01-Aug-18,3244.93,1093541.41,337,01-Oct-18,2921.78,984639.86,-108901.55,ST,0.0,20071242.2
HINDUNILVR,01-Aug-18,1734.3,1094343.3,631,01-Oct-18,1642.3,1036291.3,-58052.0,ST,0.0,20071242.2
GRAPHITE,01-Aug-18,1021.3,1093812.3,1071,01-Oct-18,854.35,915008.85,-178803.45,ST,0.0,20071242.2
HEG,01-Aug-18,868.73,1094599.8,1260,01-Oct-18,669.73,843859.8,-250740.0,ST,0.0,20071242.2
LTTS,01-Aug-18,1487.3,1094652.8,736,01-Oct-18,1723.2,1268275.2,173622.4,ST,0.0,20071242.2
MPHASIS,01-Aug-18,1204.9,1094049.2,908,01-Oct-18,1159.9,1053189.2,-40860.0,ST,0.0,20071242.2
JUBLFOOD,01-Aug-18,279.14,1094787.08,3922,01-Oct-18,248.15,973244.3,-121542.78,ST,0.0,20071242.2
RADICO,01-Aug-18,447.25,1094868.0,2448,01-Oct-18,339.35,830728.8,-264139.2,ST,0.0,20071242.2
SONATSOFTW,01-Aug-18,133.03,1094836.9,8230,01-Oct-18,134.81,1109486.3,14649.4,ST,0.0,20071242.2
TCS,01-Aug-18,1976.5,1093004.5,553,01-Oct-18,2255.55,1247319.15,154314.65,ST,0.0,20071242.2
TECHM,01-Aug-18,681.1,1095208.8,1608,01-Oct-18,759.55,1221356.4,126147.6,ST,0.0,20071242.2
VIPIND,01-Aug-18,485.55,1094915.25,2255,01-Oct-18,400.45,903014.75,-191900.5,ST,0.0,20071242.2
MINDTREE,01-Aug-18,954.9,1095270.3,1147,01-Oct-18,1071.8,1229354.6,134084.3,ST,0.0,20071242.2
RELAXO,01-Aug-18,408.03,1095152.52,2684,01-Oct-18,353.75,949465.0,-145687.52,ST,0.0,20071242.2
DHANI,01-Aug-18,608.95,1095501.05,1799,01-Oct-18,512.0,921088.0,-174413.05,ST,0.0,20071242.2
BOMDYEING,01-Aug-18,259.3,1095542.5,4225,01-Oct-18,159.4,673465.0,-422077.5,ST,0.0,20071242.2
PFIZER,03-Sep-18,3533.35,1049404.95,297,01-Oct-18,2938.15,872630.55,-176774.4,ST,0.0,20071242.2
EXCELCROP,01-Nov-18,3710.45,1001821.5,270,03-Dec-18,3370.75,910102.5,-91719.0,ST,0.0,652.01
ZENSARTECH,01-Nov-18,262.5,1003537.5,3823,03-Dec-18,224.7,859028.1,-144509.4,ST,0.0,652.01
RADICO,01-Nov-18,408.4,1003438.8,2457,03-Dec-18,407.45,1001104.65,-2334.15,ST,0.0,652.01
GRAPHITE,01-Nov-18,994.3,1003248.7,1009,21-Dec-18,794.55,801700.95,-201547.75,ST,0.0,802352.96
BIOCON,01-Nov-18,322.4,1003631.2,3113,01-Jan-19,312.9,974057.7,-29573.5,ST,0.0,138.6
RELAXO,01-Nov-18,393.5,1003425.0,2550,01-Jan-19,369.33,941791.5,-61633.5,ST,0.0,138.6
INTELLECT,01-Nov-18,254.0,1003554.0,3951,01-Jan-19,228.9,904383.9,-99170.1,ST,0.0,138.6
GSKCONS,01-Nov-18,7050.2,1001128.4,142,01-Jan-19,7571.55,1075160.1,74031.7,ST,0.0,138.6
HEG,01-Nov-18,862.35,1003775.4,1164,21-Jan-19,675.5,786282.0,-217493.4,ST,0.0,786420.6
VBL,01-Nov-18,46.11,1003953.03,21773,01-Feb-19,49.39,1075368.47,71415.44,ST,0.0,130.94
EXCELCROP,01-Jan-19,3747.65,936912.5,250,01-Feb-19,3359.3,839825.0,-97087.5,ST,0.0,130.94
LTTS,01-Nov-18,1748.55,1003667.7,574,01-Mar-19,1550.8,890159.2,-113508.5,ST,0.0,6286.7
SANOFI,01-Nov-18,5892.0,1001640.0,170,01-Mar-19,5877.25,999132.5,-2507.5,ST,0.0,6286.7
AARTIIND,03-Dec-18,364.15,923484.4,2536,01-Mar-19,351.31,890922.16,-32562.24,ST,0.0,6286.7
INFY,01-Nov-18,666.7,1004050.2,1506,01-Apr-19,755.1,1137180.6,133130.4,ST,17185.08,2408.17
TECHM,01-Nov-18,720.7,1003935.1,1393,01-Apr-19,785.5,1094201.5,90266.4,ST,11652.0,2408.17
HINDUNILVR,03-Dec-18,1825.6,921928.0,505,01-Apr-19,1690.0,853450.0,-68478.0,ST,0.0,2408.17
VMART,03-Dec-18,2634.5,924709.5,351,01-Apr-19,2677.35,939749.85,15040.35,ST,1941.48,2408.17
BRITANNIA,01-Jan-19,3103.05,937121.1,302,01-Apr-19,3049.85,921054.7,-16066.4,ST,0.0,2408.17
COFORGE,01-Nov-18,1196.9,1004199.1,839,02-May-19,1282.6,1076101.4,71902.3,ST,0.0,195.8
PIDILITIND,01-Feb-19,1122.8,900485.6,802,02-May-19,1228.8,985497.6,85012.0,ST,0.0,195.8
TORNTPHARM,01-Apr-19,949.98,984179.28,1036,02-May-19,884.45,916290.2,-67889.08,ST,0.0,195.8
PRAJIND,01-Apr-19,154.45,984155.4,6372,02-May-19,137.95,879017.4,-105138.0,ST,0.0,195.8
PFIZER,01-Nov-18,2895.75,1001929.5,346,03-Jun-19,3131.05,1083343.3,81413.8,ST,16282.76,38.27
TCS,01-Nov-18,1935.75,1004654.25,519,03-Jun-19,2242.3,1163753.7,159099.45,ST,31819.89,38.27
ASIANPAINT,01-Feb-19,1457.2,900549.6,618,03-Jun-19,1459.25,901816.5,1266.9,ST,253.38,38.27
RELIANCE,01-Feb-19,567.39,900447.93,1587,01-Jul-19,575.97,914064.39,13616.46,ST,2723.29,281.07
ATUL,01-Nov-18,3369.7,1004170.6,298,01-Aug-19,3615.0,1077270.0,73099.4,ST,3103.23,19648402.01
DIVISLAB,01-Nov-18,1505.55,1005707.4,668,01-Aug-19,1615.35,1079053.8,73346.4,ST,3113.71,19648402.01
VINATIORGA,01-Nov-18,790.28,1005236.16,1272,01-Aug-19,904.58,1150625.76,145389.6,ST,6172.1,19648402.01
BAJFINANCE,01-Jan-19,2656.85,940524.9,354,01-Aug-19,3222.1,1140623.4,200098.5,ST,8494.61,19648402.01
BATAINDIA,01-Jan-19,1126.05,941377.8,836,01-Aug-19,1301.8,1088304.8,146927.0,ST,6237.37,19648402.01
IPCALAB,01-Jan-19,408.18,941671.26,2307,01-Aug-19,484.33,1117349.31,175678.05,ST,7457.91,19648402.01
ABFRL,01-Mar-19,223.45,926647.15,4147,01-Aug-19,187.25,776525.75,-150121.4,ST,0.0,19648402.01
HAVELLS,01-Mar-19,707.55,926182.95,1309,01-Aug-19,647.75,847904.75,-78278.2,ST,0.0,19648402.01
HONAUT,01-Mar-19,21934.0,921228.0,42,01-Aug-19,22974.25,964918.5,43690.5,ST,1854.76,19648402.01
TIINDIA,01-Apr-19,389.0,984170.0,2530,01-Aug-19,357.5,904475.0,-79695.0,ST,0.0,19648402.01
ASTRAZEN,01-Apr-19,2010.95,983354.55,489,01-Aug-19,1898.75,928488.75,-54865.8,ST,0.0,19648402.01
MAHSCOOTER,01-Apr-19,3561.15,982877.4,276,01-Aug-19,3873.65,1069127.4,86250.0,ST,3661.5,19648402.01
BAJAJFINSV,02-May-19,757.89,964793.97,1273,01-Aug-19,708.2,901538.6,-63255.37,ST,0.0,19648402.01
BALRAMCHIN,02-May-19,154.7,964709.2,6236,01-Aug-19,144.15,898919.4,-65789.8,ST,0.0,19648402.01
AXISBANK,02-May-19,752.35,964512.7,1282,01-Aug-19,669.3,858042.6,-106470.1,ST,0.0,19648402.01
NAUKRI,02-May-19,1953.65,965103.1,494,01-Aug-19,2217.15,1095272.1,130169.0,ST,5525.95,19648402.01
DCMSHRIRAM,03-Jun-19,531.45,1033138.8,1944,01-Aug-19,399.2,776044.8,-257094.0,ST,0.0,19648402.01
WIPRO,03-Jun-19,139.65,1033689.3,7402,01-Aug-19,129.2,956338.4,-77350.9,ST,0.0,19648402.01
ADANIPOWER,03-Jun-19,50.35,1033886.9,20534,01-Aug-19,59.4,1219719.6,185832.7,ST,7889.0,19648402.01
PIIND,01-Jul-19,1194.1,911098.3,763,01-Aug-19,1115.45,851088.35,-60009.95,ST,0.0,19648402.01
INDIGO,01-Oct-19,1869.9,981697.5,525,25-Oct-19,1467.8,770595.0,-211102.5,ST,0.0,770669.39
BALRAMCHIN,01-Oct-19,159.65,982326.45,6153,01-Nov-19,164.5,1012168.5,29842.05,ST,5968.41,859.9
COLPAL,01-Oct-19,1495.85,981277.6,656,01-Nov-19,1534.25,1006468.0,25190.4,ST,5038.08,859.9
BRIGADE,01-Oct-19,204.45,982382.25,4805,01-Nov-19,206.4,991752.0,9369.75,ST,1873.95,859.9
ASIANPAINT,01-Oct-19,1766.1,981951.6,556,01-Nov-19,1766.35,982090.6,139.0,ST,27.8,859.9
TITAN,01-Oct-19,1280.6,982220.2,767,02-Dec-19,1153.8,884964.6,-97255.6,ST,0.0,1064.57
ADANIPOWER,01-Oct-19,61.75,982566.0,15912,02-Dec-19,62.3,991317.6,8751.6,ST,0.0,1064.57
CGCL,01-Oct-19,52.16,982590.08,18838,02-Dec-19,45.98,866171.24,-116418.84,ST,0.0,1064.57
VINATIORGA,01-Oct-19,1096.28,982266.88,896,02-Dec-19,988.43,885633.28,-96633.6,ST,0.0,1064.57
KEI,01-Nov-19,582.95,949625.55,1629,02-Dec-19,515.05,839016.45,-110609.1,ST,0.0,1064.57
SIEMENS,01-Oct-19,1543.25,981507.0,636,01-Jan-20,1491.25,948435.0,-33072.0,ST,0.0,579.97
MAHSCOOTER,01-Oct-19,4454.2,979924.0,220,01-Jan-20,4440.8,976976.0,-2948.0,ST,0.0,579.97
LALPATHLAB,02-Dec-19,1593.6,892416.0,560,01-Jan-20,1533.4,858704.0,-33712.0,ST,0.0,579.97
BERGEPAINT,01-Oct-19,361.21,982852.41,2721,01-Feb-20,457.08,1243714.68,260862.27,ST,48926.47,21642908.83
BAJFINANCE,01-Oct-19,3992.4,982130.4,246,01-Feb-20,4276.05,1051908.3,69777.9,ST,13087.31,21642908.83
BATAINDIA,01-Oct-19,1736.95,983113.7,566,01-Feb-20,1798.95,1018205.7,35092.0,ST,6581.74,21642908.83
CREDITACC,01-Oct-19,670.15,983110.05,1467,01-Feb-20,764.8,1121961.6,138851.55,ST,26042.54,21642908.83
HDFCLIFE,01-Oct-19,598.2,982842.6,1643,01-Feb-20,562.4,924023.2,-58819.4,ST,0.0,21642908.83
HDFCAMC,01-Oct-19,2744.65,982584.7,358,01-Feb-20,3054.9,1093654.2,111069.5,ST,20831.83,21642908.83
FINEORG,01-Oct-19,1745.1,982491.3,563,01-Feb-20,2240.15,1261204.45,278713.15,ST,52274.52,21642908.83
MANAPPURAM,01-Oct-19,134.3,984150.4,7328,01-Feb-20,184.2,1349817.6,365667.2,ST,68583.33,21642908.83
PIIND,01-Oct-19,1258.75,984342.5,782,01-Feb-20,1501.3,1174016.6,189674.1,ST,35574.65,21642908.83
AAVAS,01-Nov-19,1582.75,949650.0,600,01-Feb-20,1993.3,1195980.0,246330.0,ST,46200.84,21642908.83
ADANIGREEN,01-Nov-19,89.95,950231.8,10564,01-Feb-20,186.85,1973883.4,1023651.6,ST,191992.72,21642908.83
NAM-INDIA,01-Nov-19,355.9,950253.0,2670,01-Feb-20,341.2,911004.0,-39249.0,ST,0.0,21642908.83
SBILIFE,01-Nov-19,997.5,949620.0,952,01-Feb-20,893.1,850231.2,-99388.8,ST,0.0,21642908.83
ABBOTINDIA,02-Dec-19,12621.25,883487.5,70,01-Feb-20,12319.3,862351.0,-21136.5,ST,0.0,21642908.83
ATGL,02-Dec-19,164.15,897243.9,5466,01-Feb-20,165.2,902983.2,5739.3,ST,1076.44,21642908.83
GUJGASLTD,02-Dec-19,216.7,897354.7,4141,01-Feb-20,284.7,1178942.7,281588.0,ST,52813.72,21642908.83
JKCEMENT,02-Dec-19,1155.15,896396.4,776,01-Feb-20,1327.85,1030411.6,134015.2,ST,25135.45,21642908.83
DIXON,01-Jan-20,757.31,927704.75,1225,01-Feb-20,889.33,1089429.25,161724.5,ST,30332.51,21642908.83
WHIRLPOOL,01-Jan-20,2333.25,928633.5,398,01-Feb-20,2417.1,962005.8,33372.3,ST,6259.2,21642908.83
RELAXO,01-Jan-20,615.15,928261.35,1509,01-Feb-20,732.65,1105568.85,177307.5,ST,33255.21,21642908.83
ALKEM,04-May-20,2663.55,1081401.3,406,01-Jun-20,2282.05,926512.3,-154889.0,ST,0.0,933.86
PFIZER,04-May-20,5001.3,1080280.8,216,01-Jun-20,4017.8,867844.8,-212436.0,ST,0.0,933.86
SRF,04-May-20,728.11,1081971.46,1486,01-Jun-20,741.43,1101764.98,19793.52,ST,0.0,933.86
TATACONSUM,04-May-20,334.95,1082223.45,3231,01-Jul-20,384.5,1242319.5,160096.05,ST,20392.21,140.97
FINEORG,04-May-20,1966.15,1081382.5,550,01-Jul-20,1860.45,1023247.5,-58135.0,ST,0.0,140.97
NESTLEIND,04-May-20,1745.65,1082303.0,620,03-Aug-20,1652.48,1024537.6,-57765.4,ST,0.0,73.67
DMART,04-May-20,2281.3,1081336.2,474,03-Aug-20,2093.15,992153.1,-89183.1,ST,0.0,73.67
SANOFI,04-May-20,8052.75,1079068.5,134,03-Aug-20,8298.35,1111978.9,32910.4,ST,0.0,73.67
BHARTIARTL,04-May-20,532.5,1082572.5,2033,03-Aug-20,547.35,1112762.55,30190.05,ST,0.0,73.67
RELAXO,01-Jun-20,710.35,965365.65,1359,03-Aug-20,594.55,807993.45,-157372.2,ST,0.0,73.67
GUJGASLTD,04-May-20,251.1,1082743.2,4312,01-Sep-20,314.0,1353968.0,271224.8,ST,54244.96,152.71
BERGEPAINT,04-May-20,400.92,1082484.0,2700,01-Sep-20,461.08,1244916.0,162432.0,ST,32486.4,152.71
ABBOTINDIA,04-May-20,18195.35,1073525.65,59,01-Oct-20,16384.9,966709.1,-106816.55,ST,0.0,28.86
ISEC,01-Jun-20,388.3,965313.8,2486,01-Oct-20,464.15,1153876.9,188563.1,ST,0.0,28.86
GMMPFAUDLR,01-Jul-20,1393.28,1122983.68,806,01-Oct-20,1279.62,1031373.72,-91609.96,ST,0.0,28.86
BHARATRAS,03-Aug-20,9292.95,1003638.6,108,01-Oct-20,9070.7,979635.6,-24003.0,ST,0.0,28.86
ADANIGREEN,04-May-20,209.55,1083792.6,5172,02-Nov-20,859.2,4443782.4,3359989.8,ST,626053.46,28773133.61
DEEPAKNTR,04-May-20,485.05,1083601.7,2234,02-Nov-20,718.3,1604682.2,521080.5,ST,97090.85,28773133.61
DRREDDY,04-May-20,787.8,1084012.8,1376,02-Nov-20,971.73,1337100.48,253087.68,ST,47156.82,28773133.61
DIXON,04-May-20,917.35,1083390.35,1181,02-Nov-20,1901.56,2245742.36,1162352.01,ST,216576.4,28773133.61
FDC,04-May-20,244.95,1084148.7,4426,02-Nov-20,339.05,1500635.3,416486.6,ST,77602.28,28773133.61
IPCALAB,04-May-20,807.28,1084177.04,1343,02-Nov-20,1151.15,1545994.45,461817.41,ST,86048.59,28773133.61
JBCHEPHARM,04-May-20,275.15,1084091.0,3940,02-Nov-20,497.5,1960150.0,876059.0,ST,163232.57,28773133.61
NAVINFLUOR,04-May-20,1517.95,1083816.3,714,02-Nov-20,2178.6,1555520.4,471704.1,ST,87890.74,28773133.61
AMBER,01-Jun-20,1338.55,965094.55,721,02-Nov-20,2100.8,1514676.8,549582.25,ST,102401.46,28773133.61
ALKYLAMINE,01-Jul-20,866.5,1122984.0,1296,02-Nov-20,1155.82,1497942.72,374958.72,ST,69864.56,28773133.61
COROMANDEL,03-Aug-20,779.95,1010815.2,1296,02-Nov-20,717.15,929426.4,-81388.8,ST,0.0,28773133.61
