Stock Name,Entry date,Entry price,Entry Amount,Quantity,Exit date,Exit price,Exit amount,PNL,ST/LT,Tax,Corpus available
WELSPUNLIV,01-Jun-15,57.19,888389.46,15534,01-Sep-15,75.8,1177477.2,289087.74,ST,0.0,17018751.01
KPRMILL,01-Jun-15,61.29,888398.55,14495,01-Sep-15,71.38,1034653.1,146254.55,ST,0.0,17018751.01
GILLETTE,01-Jun-15,4482.45,887525.1,198,01-Sep-15,4802.05,950805.9,63280.8,ST,0.0,17018751.01
JKIL,01-Jun-15,344.0,888552.0,2583,01-Sep-15,393.93,1017521.19,128969.19,ST,0.0,17018751.01
ICRA,01-Jun-15,4210.8,888478.8,211,01-Sep-15,3891.35,821074.85,-67403.95,ST,0.0,17018751.01
DYNAMATECH,01-Jun-15,2802.7,888455.9,317,01-Sep-15,2249.7,713154.9,-175301.0,ST,0.0,17018751.01
ITDCEM,01-Jun-15,65.09,888738.86,13654,01-Sep-15,82.0,1119628.0,230889.14,ST,0.0,17018751.01
KNRCON,01-Jun-15,52.09,888811.67,17063,01-Sep-15,55.74,951091.62,62279.95,ST,0.0,17018751.01
BAJFINANCE,01-Jul-15,549.82,752153.76,1368,01-Sep-15,493.51,675121.68,-77032.08,ST,0.0,17018751.01
IFBIND,01-Jul-15,512.5,752350.0,1468,01-Sep-15,492.65,723210.2,-29139.8,ST,0.0,17018751.01
EMAMILTD,03-Aug-15,664.7,800298.8,1204,01-Sep-15,586.4,706025.6,-94273.2,ST,0.0,17018751.01
SONATSOFTW,03-Aug-15,58.82,801069.58,13619,01-Sep-15,51.04,695113.76,-105955.82,ST,0.0,17018751.01
RAJESHEXPO,03-Aug-15,568.9,801011.2,1408,01-Sep-15,480.4,676403.2,-124608.0,ST,0.0,17018751.01
TATAELXSI,03-Aug-15,900.78,800793.42,889,01-Sep-15,903.7,803389.3,2595.88,ST,0.0,17018751.01
KITEX,03-Aug-15,190.55,801453.3,4206,01-Sep-15,158.45,666440.7,-135012.6,ST,0.0,17018751.01
ASHOKLEY,01-Oct-15,94.25,850889.0,9028,02-Nov-15,90.3,815228.4,-35660.6,ST,0.0,17013932.7
BRITANNIA,01-Oct-15,1561.4,849401.6,544,02-Nov-15,1593.28,866744.32,17342.72,ST,0.0,17013932.7
AJANTPHARM,01-Oct-15,1007.27,850135.88,844,02-Nov-15,1018.7,859782.8,9646.92,ST,0.0,17013932.7
BAJFINANCE,01-Oct-15,510.76,850926.16,1666,02-Nov-15,522.32,870185.12,19258.96,ST,0.0,17013932.7
CANFINHOME,01-Oct-15,175.94,851021.78,4837,02-Nov-15,185.82,898811.34,47789.56,ST,0.0,17013932.7
SAMMAANCAP,01-Oct-15,795.95,850870.55,1069,02-Nov-15,721.95,771764.55,-79106.0,ST,0.0,17013932.7
MARUTI,01-Oct-15,4580.35,847364.75,185,02-Nov-15,4495.75,831713.75,-15651.0,ST,0.0,17013932.7
RAJESHEXPO,01-Oct-15,554.6,851311.0,1535,02-Nov-15,641.35,984472.25,133161.25,ST,0.0,17013932.7
TATAELXSI,01-Oct-15,940.3,850971.5,905,02-Nov-15,909.6,823188.0,-27783.5,ST,0.0,17013932.7
ZFCVINDIA,01-Oct-15,6882.95,846602.85,123,02-Nov-15,6500.95,799616.85,-46986.0,ST,0.0,17013932.7
WELSPUNLIV,01-Oct-15,84.85,851894.0,10040,02-Nov-15,73.13,734225.2,-117668.8,ST,0.0,17013932.7
VTL,01-Oct-15,185.09,851784.18,4602,02-Nov-15,149.48,687906.96,-163877.22,ST,0.0,17013932.7
JUBLPHARMA,01-Oct-15,374.65,851579.45,2273,02-Nov-15,427.55,971821.15,120241.7,ST,0.0,17013932.7
KPRMILL,01-Oct-15,80.83,851948.2,10540,02-Nov-15,80.18,845097.2,-6851.0,ST,0.0,17013932.7
GILLETTE,01-Oct-15,4985.95,847611.5,170,02-Nov-15,4787.6,813892.0,-33719.5,ST,0.0,17013932.7
HIMATSEIDE,01-Oct-15,210.4,852751.2,4053,02-Nov-15,204.7,829649.1,-23102.1,ST,0.0,17013932.7
EVEREADY,01-Oct-15,289.45,852719.7,2946,02-Nov-15,279.85,824438.1,-28281.6,ST,0.0,17013932.7
JKIL,01-Oct-15,397.8,852883.2,2144,02-Nov-15,378.55,811611.2,-41272.0,ST,0.0,17013932.7
HONAUT,01-Oct-15,9218.75,848125.0,92,02-Nov-15,9278.3,853603.6,5478.6,ST,0.0,17013932.7
ITDCEM,01-Oct-15,79.5,857884.5,10791,02-Nov-15,103.8,1120105.8,262221.3,ST,0.0,17013932.7
BAJAJFINSV,01-Dec-15,199.12,850640.64,4272,01-Jan-16,198.38,847479.36,-3161.28,ST,0.0,40.42
JKIL,01-Dec-15,373.53,850527.81,2277,01-Jan-16,374.8,853419.6,2891.79,ST,0.0,40.42
JUBLPHARMA,01-Dec-15,448.1,850493.8,1898,15-Jan-16,339.8,644940.4,-205553.4,ST,0.0,644980.82
GODFRYPHLP,01-Dec-15,1398.5,850288.0,608,18-Jan-16,1080.25,656792.0,-193496.0,ST,0.0,1952821.98
GAYAPROJ,01-Jan-16,149.49,850448.61,5689,18-Jan-16,114.44,651049.16,-199399.45,ST,0.0,1952821.98
KNRCON,01-Dec-15,60.53,850688.62,14054,20-Jan-16,46.11,648029.94,-202658.68,ST,0.0,2600851.92
ICRA,01-Dec-15,4289.15,849251.7,198,01-Feb-16,3879.75,768190.5,-81061.2,ST,0.0,128.93
HIMATSEIDE,01-Dec-15,224.4,850700.4,3791,10-Feb-16,176.5,669111.5,-181588.9,ST,0.0,669240.43
KRBL,01-Dec-15,238.35,850671.15,3569,11-Feb-16,190.35,679359.15,-171312.0,ST,0.0,3018887.48
SRIPIPES,01-Jan-16,271.9,850503.2,3128,11-Feb-16,202.2,632481.6,-218021.6,ST,0.0,3018887.48
GODFRYPHLP,01-Feb-16,1276.3,672610.1,527,11-Feb-16,968.25,510267.75,-162342.35,ST,0.0,3018887.48
CHENNPETRO,01-Feb-16,184.8,673965.6,3647,11-Feb-16,144.65,527538.55,-146427.05,ST,0.0,3018887.48
KPRMILL,01-Dec-15,82.41,850800.84,10324,12-Feb-16,65.49,676118.76,-174682.08,ST,0.0,4232572.64
GAYAPROJ,01-Feb-16,126.43,674251.19,5333,12-Feb-16,100.8,537566.4,-136684.79,ST,0.0,4232572.64
TNPL,01-Feb-16,254.7,673936.2,2646,23-Feb-16,203.3,537931.8,-136004.4,ST,0.0,4770504.44
ITDCEM,01-Dec-15,99.55,850853.85,8547,01-Apr-16,111.05,949144.35,98290.5,ST,0.0,555.5
BRITANNIA,01-Dec-15,1485.73,849837.56,572,01-Apr-16,1339.53,766211.16,-83626.4,ST,0.0,555.5
HERITGFOOD,01-Mar-16,131.31,596278.71,4541,01-Apr-16,129.01,585834.41,-10444.3,ST,0.0,555.5
ECLERX,01-Mar-16,899.97,595780.14,662,01-Apr-16,867.87,574529.94,-21250.2,ST,0.0,555.5
RAJESHEXPO,01-Dec-15,706.3,850385.2,1204,25-Apr-16,550.55,662862.2,-187523.0,ST,0.0,663417.7
GODFRYPHLP,01-Mar-16,1178.65,596396.9,506,26-Apr-16,931.3,471237.8,-125159.1,ST,0.0,1134655.5
